go.rudyc.select_character,2019-05-01 23:39:40,
go.rudyc.select_character,2019-05-01 23:39:50,
go.rudyc.select_character,2019-05-01 23:40:00,
go.rudyc.select_character,2019-05-01 23:40:10,
go.rudyc.select_character,2019-05-01 23:40:20,
go.rudyc.select_character,2019-05-01 23:40:30,
go.rudyc.select_character,2019-05-01 23:40:40,
go.rudyc.select_character,2019-05-01 23:40:50,
go.rudyc.select_character,2019-05-01 23:41:00,
go.rudyc.select_character,2019-05-01 23:41:10,
go.rudyc.select_character,2019-05-01 23:41:20,
go.rudyc.select_character,2019-05-01 23:41:30,
go.rudyc.select_character,2019-05-01 23:41:40,
go.rudyc.select_character,2019-05-01 23:41:50,
go.rudyc.select_character,2019-05-01 23:42:00,
go.rudyc.select_character,2019-05-01 23:42:10,
go.rudyc.select_character,2019-05-01 23:42:20,
go.rudyc.select_character,2019-05-01 23:42:30,
go.rudyc.select_character,2019-05-01 23:42:40,
go.rudyc.select_character,2019-05-01 23:42:50,
go.rudyc.select_character,2019-05-01 23:43:00,
go.rudyc.select_character,2019-05-01 23:43:10,
go.rudyc.select_character,2019-05-01 23:43:20,
go.rudyc.select_character,2019-05-01 23:43:30,
go.rudyc.select_character,2019-05-01 23:43:40,
go.rudyc.select_character,2019-05-01 23:43:50,
go.rudyc.select_character,2019-05-01 23:44:00,
go.rudyc.select_character,2019-05-01 23:44:10,
go.rudyc.select_character,2019-05-01 23:44:20,
go.rudyc.select_character,2019-05-01 23:44:30,
go.rudyc.select_character,2019-05-01 23:44:40,
go.rudyc.select_character,2019-05-01 23:44:50,
go.rudyc.select_character,2019-05-01 23:45:00,
go.rudyc.select_character,2019-05-01 23:45:10,
go.rudyc.select_character,2019-05-01 23:45:20,
go.rudyc.select_character,2019-05-01 23:45:30,
go.rudyc.select_character,2019-05-01 23:45:40,
go.rudyc.select_character,2019-05-01 23:45:50,
go.rudyc.select_character,2019-05-01 23:46:00,
go.rudyc.select_character,2019-05-01 23:46:10,
go.rudyc.select_character,2019-05-01 23:46:20,
go.rudyc.select_character,2019-05-01 23:46:30,
go.rudyc.select_character,2019-05-01 23:46:40,
go.rudyc.select_character,2019-05-01 23:46:50,
go.rudyc.select_character,2019-05-01 23:47:00,
go.rudyc.select_character,2019-05-01 23:47:10,
go.rudyc.select_character,2019-05-01 23:47:20,
go.rudyc.select_character,2019-05-01 23:47:30,
go.rudyc.select_character,2019-05-01 23:47:40,
go.rudyc.select_character,2019-05-01 23:47:50,
go.rudyc.select_character,2019-05-01 23:48:00,
go.rudyc.select_character,2019-05-01 23:48:10,
go.rudyc.select_character,2019-05-01 23:48:20,
go.rudyc.select_character,2019-05-01 23:48:30,
go.rudyc.select_character,2019-05-01 23:48:40,
go.rudyc.select_character,2019-05-01 23:48:50,
go.rudyc.select_character,2019-05-01 23:49:00,
go.rudyc.select_character,2019-05-01 23:49:10,
go.rudyc.select_character,2019-05-01 23:49:20,
go.rudyc.select_character,2019-05-01 23:49:30,
go.rudyc.select_character,2019-05-01 23:49:40,
go.rudyc.select_character,2019-05-01 23:49:50,
go.rudyc.select_character,2019-05-01 23:50:00,
go.rudyc.select_character,2019-05-01 23:50:10,
go.rudyc.select_character,2019-05-01 23:50:20,
go.rudyc.select_character,2019-05-01 23:50:30,
go.rudyc.select_character,2019-05-01 23:50:40,
go.rudyc.select_character,2019-05-01 23:50:50,
go.rudyc.select_character,2019-05-01 23:51:00,
go.rudyc.select_character,2019-05-01 23:51:10,
go.rudyc.select_character,2019-05-01 23:51:20,
go.rudyc.select_character,2019-05-01 23:51:30,
go.rudyc.select_character,2019-05-01 23:51:40,
go.rudyc.select_character,2019-05-01 23:51:50,
go.rudyc.select_character,2019-05-01 23:52:00,
go.rudyc.select_character,2019-05-01 23:52:10,
go.rudyc.select_character,2019-05-01 23:52:20,
go.rudyc.select_character,2019-05-01 23:52:30,
go.rudyc.select_character,2019-05-01 23:52:40,
go.rudyc.select_character,2019-05-01 23:52:50,
go.rudyc.select_character,2019-05-01 23:53:00,
go.rudyc.select_character,2019-05-01 23:53:10,
go.rudyc.select_character,2019-05-01 23:53:20,
go.rudyc.select_character,2019-05-01 23:53:30,
go.rudyc.select_character,2019-05-01 23:53:40,
go.rudyc.select_character,2019-05-01 23:53:50,
go.rudyc.select_character,2019-05-01 23:54:00,
go.rudyc.select_character,2019-05-01 23:54:10,
go.rudyc.select_character,2019-05-01 23:54:20,
go.rudyc.select_character,2019-05-01 23:54:30,
go.rudyc.select_character,2019-05-01 23:54:40,
go.rudyc.select_character,2019-05-01 23:54:50,
go.rudyc.select_character,2019-05-01 23:55:00,
go.rudyc.select_character,2019-05-01 23:55:10,
go.rudyc.select_character,2019-05-01 23:55:20,
go.rudyc.select_character,2019-05-01 23:55:30,
go.rudyc.select_character,2019-05-01 23:55:40,
go.rudyc.select_character,2019-05-01 23:55:50,
go.rudyc.select_character,2019-05-01 23:56:00,
go.rudyc.select_character,2019-05-01 23:56:10,
go.rudyc.select_character,2019-05-01 23:56:20,
go.rudyc.select_character,2019-05-01 23:56:30,
go.rudyc.select_character,2019-05-01 23:56:40,
go.rudyc.select_character,2019-05-01 23:56:50,
go.rudyc.select_character,2019-05-01 23:57:00,
go.rudyc.select_character,2019-05-01 23:57:10,
go.rudyc.select_character,2019-05-01 23:57:20,
go.rudyc.select_character,2019-05-01 23:57:30,
go.rudyc.select_character,2019-05-01 23:57:40,
go.rudyc.select_character,2019-05-01 23:57:50,
go.rudyc.select_character,2019-05-01 23:58:00,
go.rudyc.select_character,2019-05-01 23:58:10,
go.rudyc.select_character,2019-05-01 23:58:20,
go.rudyc.select_character,2019-05-01 23:58:30,
go.rudyc.select_character,2019-05-01 23:58:40,
go.rudyc.select_character,2019-05-01 23:58:50,
go.rudyc.select_character,2019-05-01 23:59:00,
go.rudyc.select_character,2019-05-01 23:59:10,
go.rudyc.select_character,2019-05-01 23:59:20,
go.rudyc.select_character,2019-05-01 23:59:30,
go.rudyc.select_character,2019-05-01 23:59:40,
go.rudyc.select_character,2019-05-01 23:59:50,
go.rudyc.select_character,2019-05-02 00:00:00,
go.rudyc.select_character,2019-05-02 00:00:10,
go.rudyc.select_character,2019-05-02 00:00:20,
go.rudyc.select_character,2019-05-02 00:00:30,
go.rudyc.select_character,2019-05-02 00:00:40,
go.rudyc.select_character,2019-05-02 00:00:50,
go.rudyc.select_character,2019-05-02 00:01:00,
go.rudyc.select_character,2019-05-02 00:01:10,
go.rudyc.select_character,2019-05-02 00:01:20,
go.rudyc.select_character,2019-05-02 00:01:30,
go.rudyc.select_character,2019-05-02 00:01:40,
go.rudyc.select_character,2019-05-02 00:01:50,
go.rudyc.select_character,2019-05-02 00:02:00,
go.rudyc.select_character,2019-05-02 00:02:10,
go.rudyc.select_character,2019-05-02 00:02:20,
go.rudyc.select_character,2019-05-02 00:02:30,
go.rudyc.select_character,2019-05-02 00:02:40,
go.rudyc.select_character,2019-05-02 00:02:50,
go.rudyc.select_character,2019-05-02 00:03:00,
go.rudyc.select_character,2019-05-02 00:03:10,
go.rudyc.select_character,2019-05-02 00:03:20,
go.rudyc.select_character,2019-05-02 00:03:30,
go.rudyc.select_character,2019-05-02 00:03:40,
go.rudyc.select_character,2019-05-02 00:03:50,
go.rudyc.select_character,2019-05-02 00:04:00,
go.rudyc.select_character,2019-05-02 00:04:10,
go.rudyc.select_character,2019-05-02 00:04:20,
go.rudyc.select_character,2019-05-02 00:04:30,
go.rudyc.select_character,2019-05-02 00:04:40,
go.rudyc.select_character,2019-05-02 00:04:50,
go.rudyc.select_character,2019-05-02 00:05:00,
go.rudyc.select_character,2019-05-02 00:05:10,
go.rudyc.select_character,2019-05-02 00:05:20,
go.rudyc.select_character,2019-05-02 00:05:30,
go.rudyc.select_character,2019-05-02 00:05:40,
go.rudyc.select_character,2019-05-02 00:05:50,
go.rudyc.select_character,2019-05-02 00:06:00,
go.rudyc.select_character,2019-05-02 00:06:10,
go.rudyc.select_character,2019-05-02 00:06:20,
go.rudyc.select_character,2019-05-02 00:06:30,
go.rudyc.select_character,2019-05-02 00:06:40,
go.rudyc.select_character,2019-05-02 00:06:50,
go.rudyc.select_character,2019-05-02 00:07:00,
go.rudyc.select_character,2019-05-02 00:07:10,
go.rudyc.select_character,2019-05-02 00:07:20,
go.rudyc.select_character,2019-05-02 00:07:30,
go.rudyc.select_character,2019-05-02 00:07:40,
go.rudyc.select_character,2019-05-02 00:07:50,
go.rudyc.select_character,2019-05-02 00:08:00,
go.rudyc.select_character,2019-05-02 00:08:10,
go.rudyc.select_character,2019-05-02 00:08:20,
go.rudyc.select_character,2019-05-02 00:08:30,
go.rudyc.select_character,2019-05-02 00:08:40,
go.rudyc.select_character,2019-05-02 00:08:50,
go.rudyc.select_character,2019-05-02 00:09:00,
go.rudyc.select_character,2019-05-02 00:09:10,
go.rudyc.select_character,2019-05-02 00:09:20,
go.rudyc.select_character,2019-05-02 00:09:30,
go.rudyc.select_character,2019-05-02 00:09:40,
go.rudyc.select_character,2019-05-02 00:09:50,
go.rudyc.select_character,2019-05-02 00:10:00,
go.rudyc.select_character,2019-05-02 00:10:10,
go.rudyc.select_character,2019-05-02 00:10:20,
go.rudyc.select_character,2019-05-02 00:10:30,
go.rudyc.select_character,2019-05-02 00:10:40,
go.rudyc.select_character,2019-05-02 00:10:50,
go.rudyc.select_character,2019-05-02 00:11:00,
go.rudyc.select_character,2019-05-02 00:11:10,
go.rudyc.select_character,2019-05-02 00:11:20,
go.rudyc.select_character,2019-05-02 00:11:30,
go.rudyc.select_character,2019-05-02 00:11:40,
go.rudyc.select_character,2019-05-02 00:11:50,
go.rudyc.select_character,2019-05-02 00:12:00,
go.rudyc.select_character,2019-05-02 00:12:10,
go.rudyc.select_character,2019-05-02 00:12:20,
go.rudyc.select_character,2019-05-02 00:12:30,
go.rudyc.select_character,2019-05-02 00:12:40,
go.rudyc.select_character,2019-05-02 00:12:50,
go.rudyc.select_character,2019-05-02 00:13:00,
go.rudyc.select_character,2019-05-02 00:13:10,
go.rudyc.select_character,2019-05-02 00:13:20,
go.rudyc.select_character,2019-05-02 00:13:30,
go.rudyc.select_character,2019-05-02 00:13:40,
go.rudyc.select_character,2019-05-02 00:13:50,
go.rudyc.select_character,2019-05-02 00:14:00,
go.rudyc.select_character,2019-05-02 00:14:10,
go.rudyc.select_character,2019-05-02 00:14:20,
go.rudyc.select_character,2019-05-02 00:14:30,
go.rudyc.select_character,2019-05-02 00:14:40,
go.rudyc.select_character,2019-05-02 00:14:50,
go.rudyc.select_character,2019-05-02 00:15:00,
go.rudyc.select_character,2019-05-02 00:15:10,
go.rudyc.select_character,2019-05-02 00:15:20,
go.rudyc.select_character,2019-05-02 00:15:30,
go.rudyc.select_character,2019-05-02 00:15:40,
go.rudyc.select_character,2019-05-02 00:15:50,
go.rudyc.select_character,2019-05-02 00:16:00,
go.rudyc.select_character,2019-05-02 00:16:10,
go.rudyc.select_character,2019-05-02 00:16:20,
go.rudyc.select_character,2019-05-02 00:16:30,
go.rudyc.select_character,2019-05-02 00:16:40,
go.rudyc.select_character,2019-05-02 00:16:50,
go.rudyc.select_character,2019-05-02 00:17:00,
go.rudyc.select_character,2019-05-02 00:17:10,
go.rudyc.select_character,2019-05-02 00:17:20,
go.rudyc.select_character,2019-05-02 00:17:30,
go.rudyc.select_character,2019-05-02 00:17:40,
go.rudyc.select_character,2019-05-02 00:17:50,
go.rudyc.select_character,2019-05-02 00:18:00,
go.rudyc.select_character,2019-05-02 00:18:10,
go.rudyc.select_character,2019-05-02 00:18:20,
go.rudyc.select_character,2019-05-02 00:18:30,
go.rudyc.select_character,2019-05-02 00:18:40,
go.rudyc.select_character,2019-05-02 00:18:50,
go.rudyc.select_character,2019-05-02 00:19:00,
go.rudyc.select_character,2019-05-02 00:19:10,
go.rudyc.select_character,2019-05-02 00:19:20,
go.rudyc.select_character,2019-05-02 00:19:30,
go.rudyc.select_character,2019-05-02 00:19:40,
go.rudyc.select_character,2019-05-02 00:19:50,
go.rudyc.select_character,2019-05-02 00:20:00,
go.rudyc.select_character,2019-05-02 00:20:10,
go.rudyc.select_character,2019-05-02 00:20:20,
go.rudyc.select_character,2019-05-02 00:20:30,
go.rudyc.select_character,2019-05-02 00:20:40,
go.rudyc.select_character,2019-05-02 00:20:50,
go.rudyc.select_character,2019-05-02 00:21:00,
go.rudyc.select_character,2019-05-02 00:21:10,
go.rudyc.select_character,2019-05-02 00:21:20,
go.rudyc.select_character,2019-05-02 00:21:30,
go.rudyc.select_character,2019-05-02 00:21:40,
go.rudyc.select_character,2019-05-02 00:21:50,
go.rudyc.select_character,2019-05-02 00:22:00,
go.rudyc.select_character,2019-05-02 00:22:10,
go.rudyc.select_character,2019-05-02 00:22:20,
go.rudyc.select_character,2019-05-02 00:22:30,
go.rudyc.select_character,2019-05-02 00:22:40,
go.rudyc.select_character,2019-05-02 00:22:50,
go.rudyc.select_character,2019-05-02 00:23:00,
go.rudyc.select_character,2019-05-02 00:23:10,
go.rudyc.select_character,2019-05-02 00:23:20,
go.rudyc.select_character,2019-05-02 00:23:30,
go.rudyc.select_character,2019-05-02 00:23:40,
go.rudyc.select_character,2019-05-02 00:23:50,
go.rudyc.select_character,2019-05-02 00:24:00,
go.rudyc.select_character,2019-05-02 00:24:10,
go.rudyc.select_character,2019-05-02 00:24:20,
go.rudyc.select_character,2019-05-02 00:24:30,
go.rudyc.select_character,2019-05-02 00:24:40,
go.rudyc.select_character,2019-05-02 00:24:50,
go.rudyc.select_character,2019-05-02 00:25:00,
go.rudyc.select_character,2019-05-02 00:25:10,
go.rudyc.select_character,2019-05-02 00:25:20,
go.rudyc.select_character,2019-05-02 00:25:30,
go.rudyc.select_character,2019-05-02 00:25:40,
go.rudyc.select_character,2019-05-02 00:25:50,
go.rudyc.select_character,2019-05-02 00:26:00,
go.rudyc.select_character,2019-05-02 00:26:10,
go.rudyc.select_character,2019-05-02 00:26:20,
go.rudyc.select_character,2019-05-02 00:26:30,
go.rudyc.select_character,2019-05-02 00:26:40,
go.rudyc.select_character,2019-05-02 00:26:50,
go.rudyc.select_character,2019-05-02 00:27:00,
go.rudyc.select_character,2019-05-02 00:27:10,
go.rudyc.select_character,2019-05-02 00:27:20,
go.rudyc.select_character,2019-05-02 00:27:30,
go.rudyc.select_character,2019-05-02 00:27:40,
go.rudyc.select_character,2019-05-02 00:27:50,
go.rudyc.select_character,2019-05-02 00:28:00,
go.rudyc.select_character,2019-05-02 00:28:10,
go.rudyc.select_character,2019-05-02 00:28:20,
go.rudyc.select_character,2019-05-02 00:28:30,
go.rudyc.select_character,2019-05-02 00:28:40,
go.rudyc.select_character,2019-05-02 00:28:50,
go.rudyc.select_character,2019-05-02 00:29:00,
go.rudyc.select_character,2019-05-02 00:29:10,
go.rudyc.select_character,2019-05-02 00:29:20,
go.rudyc.select_character,2019-05-02 00:29:30,
go.rudyc.select_character,2019-05-02 00:29:40,
go.rudyc.select_character,2019-05-02 00:29:50,
go.rudyc.select_character,2019-05-02 00:30:00,
go.rudyc.select_character,2019-05-02 00:30:10,
go.rudyc.select_character,2019-05-02 00:30:20,
go.rudyc.select_character,2019-05-02 00:30:30,
go.rudyc.select_character,2019-05-02 00:30:40,
go.rudyc.select_character,2019-05-02 00:30:50,
go.rudyc.select_character,2019-05-02 00:31:00,
go.rudyc.select_character,2019-05-02 00:31:10,
go.rudyc.select_character,2019-05-02 00:31:20,
go.rudyc.select_character,2019-05-02 00:31:30,
go.rudyc.select_character,2019-05-02 00:31:40,
go.rudyc.select_character,2019-05-02 00:31:50,
go.rudyc.select_character,2019-05-02 00:32:00,
go.rudyc.select_character,2019-05-02 00:32:10,
go.rudyc.select_character,2019-05-02 00:32:20,
go.rudyc.select_character,2019-05-02 00:32:30,
go.rudyc.select_character,2019-05-02 00:32:40,
go.rudyc.select_character,2019-05-02 00:32:50,
go.rudyc.select_character,2019-05-02 00:33:00,
go.rudyc.select_character,2019-05-02 00:33:10,
go.rudyc.select_character,2019-05-02 00:33:20,
go.rudyc.select_character,2019-05-02 00:33:30,
go.rudyc.select_character,2019-05-02 00:33:40,
go.rudyc.select_character,2019-05-02 00:33:50,
go.rudyc.select_character,2019-05-02 00:34:00,
go.rudyc.select_character,2019-05-02 00:34:10,
go.rudyc.select_character,2019-05-02 00:34:20,
go.rudyc.select_character,2019-05-02 00:34:30,
go.rudyc.select_character,2019-05-02 00:34:40,
go.rudyc.select_character,2019-05-02 00:34:50,
go.rudyc.select_character,2019-05-02 00:35:00,
go.rudyc.select_character,2019-05-02 00:35:10,
go.rudyc.select_character,2019-05-02 00:35:20,
go.rudyc.select_character,2019-05-02 00:35:30,
go.rudyc.select_character,2019-05-02 00:35:40,
go.rudyc.select_character,2019-05-02 00:35:50,
go.rudyc.select_character,2019-05-02 00:36:00,
go.rudyc.select_character,2019-05-02 00:36:10,
go.rudyc.select_character,2019-05-02 00:36:20,
go.rudyc.select_character,2019-05-02 00:36:30,
go.rudyc.select_character,2019-05-02 00:36:40,
go.rudyc.select_character,2019-05-02 00:36:50,
go.rudyc.select_character,2019-05-02 00:37:00,
go.rudyc.select_character,2019-05-02 00:37:10,
go.rudyc.select_character,2019-05-02 00:37:20,
go.rudyc.select_character,2019-05-02 00:37:30,
go.rudyc.select_character,2019-05-02 00:37:40,
go.rudyc.select_character,2019-05-02 00:37:50,
go.rudyc.select_character,2019-05-02 00:38:00,
go.rudyc.select_character,2019-05-02 00:38:10,
go.rudyc.select_character,2019-05-02 00:38:20,
go.rudyc.select_character,2019-05-02 00:38:30,
go.rudyc.select_character,2019-05-02 00:38:40,
go.rudyc.select_character,2019-05-02 00:38:50,
go.rudyc.select_character,2019-05-02 00:39:00,
go.rudyc.select_character,2019-05-02 00:39:10,
go.rudyc.select_character,2019-05-02 00:39:20,
go.rudyc.select_character,2019-05-02 00:39:30,
go.rudyc.select_character,2019-05-02 00:39:40,
go.rudyc.select_character,2019-05-02 00:39:50,
go.rudyc.select_character,2019-05-02 00:40:00,
go.rudyc.select_character,2019-05-02 00:40:10,
go.rudyc.select_character,2019-05-02 00:40:20,
go.rudyc.select_character,2019-05-02 00:40:30,
go.rudyc.select_character,2019-05-02 00:40:40,
go.rudyc.select_character,2019-05-02 00:40:50,
go.rudyc.select_character,2019-05-02 00:41:00,
go.rudyc.select_character,2019-05-02 00:41:10,
go.rudyc.select_character,2019-05-02 00:41:20,
go.rudyc.select_character,2019-05-02 00:41:30,
go.rudyc.select_character,2019-05-02 00:41:40,
go.rudyc.select_character,2019-05-02 00:41:50,
go.rudyc.select_character,2019-05-02 00:42:00,
go.rudyc.select_character,2019-05-02 00:42:10,
go.rudyc.select_character,2019-05-02 00:42:20,
go.rudyc.select_character,2019-05-02 00:42:30,
go.rudyc.select_character,2019-05-02 00:42:40,
go.rudyc.select_character,2019-05-02 00:42:50,
go.rudyc.select_character,2019-05-02 00:43:00,
go.rudyc.select_character,2019-05-02 00:43:10,
go.rudyc.select_character,2019-05-02 00:43:20,
go.rudyc.select_character,2019-05-02 00:43:30,
go.rudyc.select_character,2019-05-02 00:43:40,
go.rudyc.select_character,2019-05-02 00:43:50,
go.rudyc.select_character,2019-05-02 00:44:00,
go.rudyc.select_character,2019-05-02 00:44:10,
go.rudyc.select_character,2019-05-02 00:44:20,
go.rudyc.select_character,2019-05-02 00:44:30,
go.rudyc.select_character,2019-05-02 00:44:40,
go.rudyc.select_character,2019-05-02 00:44:50,
go.rudyc.select_character,2019-05-02 00:45:00,
go.rudyc.select_character,2019-05-02 00:45:10,
go.rudyc.select_character,2019-05-02 00:45:20,
go.rudyc.select_character,2019-05-02 00:45:30,
go.rudyc.select_character,2019-05-02 00:45:40,
go.rudyc.select_character,2019-05-02 00:45:50,
go.rudyc.select_character,2019-05-02 00:46:00,
go.rudyc.select_character,2019-05-02 00:46:10,
